restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
Foodiction,Banashankari,Banashankari,"North Indian, Fast Food, Chinese, Burger",500.0,2.8,506,True,False,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani"
Avista Cafe Pizzeria,Kammanahalli,Hennur,"Cafe, Italian",650.0,4.5,506,True,True,Cafe,"Sandwiches, Bbq Chicken Pizza, Burgers, Steak, Mashed Potato, Peri Peri Chicken Pizza, Aglio Olio Pasta"
Happy Endings,Sarjapur Road,Bellandur,"Bakery, Desserts, Italian",500.0,4.2,506,True,False,"Bakery, Dessert Parlor","Brownie Fudge Sundae, Cheesecake, Ferrero Rocher Shake, Chocolate Mocha, Chocolate Truffle, Pasta Alfredo, Chocolate Sundae"
Faasos,Electronic City,Electronic City,"North Indian, Biryani, Fast Food",500.0,4.0,506,True,False,Quick Bites,"Rolls, Chocolate Fantasy, Chicken Rice, Chocolava, Paneer Wrap, Kheer, Veggie Wrap"
Mumbai Bistro,Rajajinagar,Malleshwaram,"Cafe, North Indian, Street Food",500.0,4.2,506,True,False,Cafe,"Pav Bhaji, Tawa Pulav, Vada Pav, Chaat, Rolls, Dabeli, Sandwiches"
Cafe Grill,Old Airport Road,Jeevan Bhima Nagar,"Chinese, North Indian, Rolls",300.0,4.1,506,True,False,Quick Bites,"Shawarma, Rolls, Chicken Grill, Kathi Roll, Chicken Biryani, Paneer Roll, Chicken Shawarama"
KFC,Banashankari,Banashankari,"Burger, Fast Food",450.0,3.8,505,True,False,Quick Bites,"Burgers, French Fries"
Delhi Base Sri Food Court,Electronic City,Electronic City,"North Indian, South Indian, Chinese, Street Food",250.0,3.9,505,True,False,Quick Bites,"Paratha, Biryani"
Smacznego,Jayanagar,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,4.2,505,True,False,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos"
Mooch Marod,Whitefield,Whitefield,North Indian,350.0,4.5,504,False,False,Quick Bites,"Chaach, Sweet Lassi, Onion Paratha, Chicken Parantha, Vegetable Paratha, Aloo Methi"
The Restaurant - Coorg,Indiranagar,Indiranagar,South Indian,1100.0,4.3,504,False,True,Casual Dining,"Pandi Curry, Caramel Custard, Coconut Souffle, Chicken Curry, Akki Rottis, Pork Curry, Set Menu"
RockSalt,Residency Road,St. Marks Road,Modern Indian,1900.0,4.4,504,True,True,"Bar, Casual Dining","Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka"
Refresh,Marathahalli,Brookefield,"Cafe, Beverages",500.0,3.2,503,True,True,Cafe,"Poha, Masala Tea, Sandwiches, Pav Bhaji, Coffee, Egg Roll, Omelette"
Delite Chaat House,Koramangala 6Th Block,Koramangala 6Th Block,"Street Food, Gujarati",300.0,3.9,503,True,False,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri"
Sunny Cafe & Kitchen,Koramangala 4Th Block,Hsr,"Cafe, Continental, Beverages, Desserts",700.0,3.8,503,True,True,"Cafe, Casual Dining","Latte, Sandwich, Pizza, Falafel, Pasta, Choco Brownie Shake, Waffles"
Kitchens@JP Nagar,Jp Nagar,Jp Nagar,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400.0,3.9,502,True,False,"Takeaway, Delivery",Vegetable Biryani
V B Bakery,Basavanagudi,Basavanagudi,Bakery,150.0,4.2,502,False,False,Bakery,"Honey Cake, Apple Cake, Potato Bun, Fruit Cake, Bun Butter Jam, Bun Masala, Veg Puff"
The Purple Pan,Rajajinagar,Rajajinagar,"North Indian, Chinese",600.0,4.1,502,True,False,Casual Dining,"Kalmi Kebab, Vegetable Biryani, Chilli Chicken, Dum Biryani, Chicken Biryani, Honey Chilli Potatoes, Chicken Tikka"
Alchemy - The Chancery Pavilion,Residency Road,Residency Road,Modern Indian,2000.0,4.3,502,False,True,"Microbrewery, Casual Dining","Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak"
East Delicious,Marathahalli,Marathahalli,"Chinese, Thai",600.0,4.0,501,True,False,Casual Dining,"Noodles, Momos, Chicken Dumplings, Chicken Momo, Chowmein, Honey Chilli Potatoes, Thukpa"
Seasons,Bannerghatta Road,Bannerghatta Road,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000.0,3.8,500,True,True,Casual Dining,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita"
Delhi Mess,New Bel Road,New Bel Road,"North Indian, Chinese",300.0,4.1,500,True,False,Quick Bites,"Aloo Paratha, Roti, Butter Chicken"
IceBreakers,Koramangala 7Th Block,Koramangala 6Th Block,"Desserts, Ice Cream",500.0,4.5,499,False,False,Dessert Parlor,"Ice Cream Roll, Waffles, Pizza, Nitrogen Ice Cream, Rolls, Brownie Fudge, Popcorn"
Chaat Street,Kammanahalli,Kalyan Nagar,"Street Food, North Indian",250.0,4.0,498,True,False,Quick Bites,"Chaat, Pav Bhaji, Paratha, Lassi, Panipuri, Dahipuri, Bhel Puri"
Based On A True Story- Bistro,Kalyan Nagar,Kammanahalli,"Cafe, Burger, Italian, Desserts",800.0,4.3,496,True,True,"Cafe, Quick Bites","Burgers, Popcorn, Pancakes, Brownie, Nachos, Pasta, Terminator Burger"
Two Friends Cauldron,Btm,Jp Nagar,"Continental, Italian, American",700.0,4.1,496,True,True,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Veggie Pizza, Chips"
Donne Biriyani House,Residency Road,Indiranagar,Biryani,300.0,4.0,496,True,False,Quick Bites,"Pepper Chicken, Chicken Biryani, Mutton Biryani"
Watson's,Lavelle Road,Vasanth Nagar,"Finger Food, Salad, Chinese, Continental",1300.0,4.1,495,False,False,Pub,"Chicken Tikka, Cocktails, Draught Beer, Pizza, Beef Chilli, Cheese Chilli Toast, Calamari"
Imperial Restaurant,Marathahalli,Marathahalli,"Biryani, Mughlai, Chinese, Arabian",700.0,3.7,494,True,False,Casual Dining,"Mutton Roganjosh, Shawarma, Chicken Biryani, Raita, Chicken Kebab, Tandoori Chicken, Butter Naan"
Sichuan,Koramangala 4Th Block,Hsr,"Chinese, Asian, Seafood",800.0,4.0,494,True,False,Casual Dining,"Momos, Fish, Chilli Chicken, Singapore Noodles, Bamboo Rice, Dumplings, Tom Yum Soup"
Indian Kitchen,Rajajinagar,Malleshwaram,"North Indian, Mughlai",1500.0,4.2,493,False,False,Casual Dining,"Cocktails, Biryani, Paneer Makhani, Sangria, Tandoori Chicken, Veg Pulao, Tomato Shorba"
Samrat Restaurant,Residency Road,Race Course Road,"South Indian, North Indian",600.0,4.1,493,False,False,Casual Dining,"Masala Dosa, Aloo Palya, Biryani, Vada Sambar, Badam Halwa, Filter Coffee, Idli"
Pizza Hut,Whitefield,"Itpl Main Road, Whitefield","Pizza, Fast Food",750.0,3.7,492,True,False,Quick Bites,"Pane Pizza, Garlic Bread, Thin Crust Pizza, Paneer Pizza, Pepperoni, Pasta"
Midnight Food Point,Marathahalli,Marathahalli,"North Indian, Chinese, Mughlai, Biryani",500.0,2.6,492,True,False,Unknown,"Biryani, Chicken Noodle, Butter Naan, Fried Rice Chicken, Chicken Manchurian, Noodles, Paratha"
Pizza Hut,Rajajinagar,Basaveshwara Nagar,"Pizza, Fast Food",750.0,3.6,492,True,False,Casual Dining,"Pasta, Potato Wedges, Garlic Bread, Veg Supreme Pizza, Chicken Wings"
Vandana Andhra and Multi Cuisine,Sarjapur Road,Sarjapur Road,"Andhra, Hyderabadi, Biryani, Chinese, North Indian",900.0,4.1,491,True,True,Casual Dining,"Chicken Guntur, Thali, Prawn Pepper Fry, Chicken Biryani, Gulab Jamun, Mutton Biryani, Halwa"
Pizza Hut,Koramangala 7Th Block,Koramangala 6Th Block,"Pizza, Fast Food",750.0,3.9,490,True,False,Casual Dining,"Pasta, Pepperoni, Garlic Bread, Supreme Pizza, Pane Pizza"
Pallavi Restaurant,Electronic City,Electronic City,"Biryani, Chinese, Andhra",500.0,3.8,490,True,True,Casual Dining,Biryani
Upsouth,Rajajinagar,Malleshwaram,South Indian,300.0,4.1,489,True,False,Quick Bites,"Filter Coffee, Crispy Dosa, Vada, Burgers, Mini Idlis, Ghee Roast Masala Dosa, Paratha"
Punjabi by Nature 2.0,Whitefield,Whitefield,North Indian,1600.0,4.2,489,True,False,"Casual Dining, Microbrewery","Beer, Tandoori Chicken, Dahi Kebab, Paneer Tikka, Dal Makhani, Mocktails, Butter Chicken"
Cafe Mondo,Sarjapur Road,Hsr,"Cafe, Italian, Pizza, Chinese",700.0,3.6,489,True,False,"Cafe, Casual Dining","Coffee, Pasta, Sandwiches, Pizza, Nachos, Blueberry Cheesecake, Burgers"
Wolf'ish,Residency Road,Church Street,"Cafe, American, Italian, Pizza, Burger",700.0,4.1,488,True,False,Cafe,"Burgers, Peri Peri Chicken, Fries, Mojito, Bbq Chicken Pizza, Mozzarella Sticks, Pasta"
PHEW (Play Hard Eat Wild),Jp Nagar,Btm,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700.0,3.9,488,True,True,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings"
Kapoor's Cafe,Kammanahalli,Kalyan Nagar,North Indian,800.0,4.1,488,False,False,Casual Dining,"Lassi, Mushroom Masala, Chaach, Aloo Paratha, Chole Kulcha, Kadai Paneer, Chole Bhature"
Rivayat,Whitefield,Whitefield,"North Indian, Mughlai",800.0,3.9,487,True,True,Casual Dining,"Naan, Tandoori Roti, Chicken Biryani, Dal Makhani, Shahi Paneer, Dum Biryani, Paneer Tikka"
Domino's Pizza,New Bel Road,New Bel Road,"Pizza, Fast Food",400.0,3.9,487,True,False,Quick Bites,"Garlic Bread, Pasta, Chicken Wings, Chocolava, Spicy Chicken, Cheesy Pizza"
Naati Manae,Koramangala 5Th Block,Koramangala 5Th Block,"North Indian, South Indian, Chinese, Biryani",700.0,3.9,485,True,True,Casual Dining,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry"
Hotel Janardhan,Malleshwaram,Race Course Road,South Indian,400.0,4.1,485,False,False,Quick Bites,"Upma, Filter Coffee, Sagu Masala Dosa, Badam Halwa, Rava Idli, Hot Coffee, Kesari Bath"
Manbhavan Premium Thali Restaurant,Whitefield,Whitefield,"Hyderabadi, Gujarati, Maharashtrian",1000.0,4.0,485,True,False,Casual Dining,"Thali, Jalebi, Dahi Vada, Chaat, Buttermilk, Rabri Malpua, Kadhi"
Bang - The Ritz-Carlton,Residency Road,Residency Road,Finger Food,3000.0,4.2,484,False,True,Lounge,"Paneer Roll, Cocktails, Wine, Mexican Platter, Dragon Chicken, Paneer Tikka"
A2B - Adyar Ananda Bhavan,Hsr,Hsr,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,2.8,484,True,False,Casual Dining,"Masala Dosa, Coffee, Tea, Vada, Idli, Chaat, Pongal"
The Rendezvous,Koramangala 7Th Block,Koramangala 4Th Block,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",800.0,3.7,483,True,False,Casual Dining,"Chicken Fritters, Steak, Sandwiches, Burgers, Pasta, Salads, Beef Stroganoff"
NH8,Whitefield,Whitefield,Rajasthani,800.0,4.2,482,True,True,Casual Dining,"Rasgulla, Dal Bati, Rajasthani Thali, Kachori, Churma, Jal-jeera, Rasmalai"
The Coorg Food Co.,Kammanahalli,Kalyan Nagar,South Indian,750.0,4.3,482,True,True,Casual Dining,"Pandi Curry, Tender Coconut Pudding, Chocolate Mousse, Ghee Rice, Pork Curry, Bella Coffee, Chicken Curry"
Apna Punjab,Koramangala 7Th Block,Btm,"North Indian, Chinese, Fast Food",450.0,3.7,482,True,False,Quick Bites,"Thali, Egg Masala, Chole, Paratha, Roti, Butter Chicken, Paneer Manchurian"
