restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
Byg Brewski Brewing Company,Sarjapur Road,Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0,4.9,16832,True,True,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings"
Toit,Indiranagar,Indiranagar,"Italian, American, Pizza",1500.0,4.7,14956,False,False,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos"
Truffles,Koramangala 7Th Block,Koramangala 5Th Block,"Cafe, American, Burger, Steak",900.0,4.7,14726,False,False,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert"
AB's - Absolute Barbecues,Marathahalli,Marathahalli,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,12121,False,True,Casual Dining,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding"
The Black Pearl,Koramangala 7Th Block,Koramangala 5Th Block,"North Indian, European, Mediterranean",1400.0,4.7,10550,False,True,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry"
Big Pitcher,Old Airport Road,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.6,9300,False,True,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food"
Onesta,Koramangala 7Th Block,Koramangala 4Th Block,"Pizza, Cafe, Italian",600.0,4.4,9085,True,True,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza"
Arbor Brewing Company,Residency Road,Brigade Road,"American, Continental",2000.0,4.5,8419,False,True,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings"
Empire Restaurant,Old Airport Road,Indiranagar,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,8304,True,False,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken"
Prost Brew Pub,Koramangala 7Th Block,Koramangala 4Th Block,"American, Continental, North Indian, Salad",1800.0,4.5,7871,False,True,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs"
Church Street Social,Residency Road,Church Street,"American, North Indian, Chinese, Finger Food, Momos",1500.0,4.3,7584,True,False,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog"
Hoot,Sarjapur Road,Sarjapur Road,"Continental, Italian, North Indian",1400.0,4.2,7330,True,True,"Microbrewery, Pub","Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Pasta"
The Black Pearl,Marathahalli,Marathahalli,"North Indian, European, Mediterranean, BBQ",1500.0,4.8,7284,False,True,"Casual Dining, Bar","Dahipuri, Jal-jeera, Jalebi Rabri, Chicken Grill, Mutton Seekh Kabab, Mutton Curry, Chocolate Sandwich"
Barbeque Nation,Old Airport Road,Indiranagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,7270,False,True,Casual Dining,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie"
Meghana Foods,Koramangala 7Th Block,Koramangala 5Th Block,"Biryani, Andhra, North Indian, Seafood",600.0,4.4,7238,True,False,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food"
Flechazo,Marathahalli,Marathahalli,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.7,7154,False,True,Casual Dining,"Pizza, Lauki Halwa, Keema Pav, Mutton Kebab, Crab Sushi, Appam, Mutton Chops"
The Hole in the Wall Cafe,Koramangala 7Th Block,Koramangala 4Th Block,"Cafe, American, Burger",600.0,4.6,7137,False,False,Cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette"
Biergarten,Whitefield,Whitefield,"Continental, European, BBQ, Chinese, Asian",2400.0,4.7,7064,False,True,"Microbrewery, Pub","Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Hefeweizen, Cheesy Garlic Bread"
Vapour Pub & Brewery,Old Airport Road,Indiranagar,"North Indian, Continental, Chinese",1400.0,4.2,6998,False,True,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka"
Empire Restaurant,Koramangala 6Th Block,Koramangala 5Th Block,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,6959,True,False,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma"
TBC Sky Lounge,Hsr,Hsr,"Continental, Asian, Italian, North Indian",1000.0,4.7,6745,False,True,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food"
AB's - Absolute Barbecues,Koramangala 7Th Block,Btm,"European, Mediterranean, North Indian, BBQ",1600.0,4.9,6490,False,True,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema"
Chili's American Grill & Bar,Rajajinagar,Malleshwaram,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.8,6470,True,True,"Casual Dining, Bar","Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita"
Fenny's Lounge And Kitchen,Koramangala 7Th Block,Koramangala 7Th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,4.5,6385,False,True,"Bar, Casual Dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter"
Windmills Craftworks,Whitefield,Whitefield,"American, North Indian, Salad",2500.0,4.6,5954,False,False,"Microbrewery, Pub","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos"
Brew and Barbeque - A Microbrewery Pub,Marathahalli,Marathahalli,"Continental, North Indian, BBQ, Steak",1400.0,4.6,5913,True,True,"Microbrewery, Pub","Craft Beer, Bbq Platter, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer"
Smoke House Deli,Old Airport Road,Indiranagar,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6,5448,True,True,Casual Dining,"Cappuccino, Pasta, Cucumber Spritzer, Cocktails, Murgh Platter, Mocktails, Burgers"
Glen's Bakehouse,Old Airport Road,Indiranagar,"Bakery, Cafe, Italian, Desserts",600.0,4.3,5352,True,False,"Bakery, Cafe","Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie"
Hard Rock Cafe,Residency Road,St. Marks Road,"American, BBQ",2500.0,4.5,5294,False,True,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails"
Empire Restaurant,Basavanagudi,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750.0,4.4,5060,True,False,Casual Dining,"Chicken Grill, Ghee Rice, Butter Chicken, Shawarma, Mutton Shaadi Ki Biryani, Chicken Tikka Masala, Mutton Keema Dosa"
The Boozy Griffin,Koramangala 7Th Block,Koramangala 5Th Block,"European, Continental",1800.0,4.6,5024,False,True,"Casual Dining, Pub","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges"
Chili's American Grill & Bar,Whitefield,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.6,4957,True,False,Casual Dining,"Tex Mex, Burgers, Chaap, Cocktails, Chaat, Mushroom Soup, Pork Ribs"
Onesta,New Bel Road,New Bel Road,"Pizza, Cafe, Italian",600.0,4.4,4897,True,True,"Casual Dining, Cafe","Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito"
Chianti,Koramangala 7Th Block,Koramangala 5Th Block,Italian,1500.0,4.7,4872,False,True,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas"
Hammered,Residency Road,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4.7,4845,True,True,"Pub, Cafe","Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails"
High Ultra Lounge,Rajajinagar,Malleshwaram,"Japanese, Thai, Chinese, Korean",2600.0,4.1,4781,False,True,"Lounge, Casual Dining","Cocktails, Salmon Sushi, Jumbo Prawns, Chocolate Cake, Mocktails, Pad Thai Noodle, Sushi Platter"
Chutney Chang,Residency Road,Church Street,"North Indian, Chinese, BBQ",1500.0,4.2,4752,True,True,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry"
Koramangala Social,Koramangala 7Th Block,Koramangala 7Th Block,"American, North Indian, Chinese, Finger Food",1500.0,4.6,4714,True,False,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha"
Onesta,Old Airport Road,Indiranagar,"Pizza, Cafe, Italian",600.0,4.3,4709,True,True,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta"
The Boozy Griffin,Marathahalli,Marathahalli,"European, Continental",1800.0,4.8,4705,False,True,Pub,"Singapore Sling, Sea Food Platter, Cocktails, Long Island Iced Tea, Vanilla Ice Cream, Martini, Ghee Rice"
Barleyz,Koramangala 7Th Block,Koramangala 6Th Block,"North Indian, Continental, Chinese",2000.0,3.8,4660,False,False,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea"
The 13th Floor,Residency Road,Mg Road,"Asian, North Indian, Thai",1700.0,4.4,4616,False,True,Lounge,"Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito"
Meghana Foods,Basavanagudi,Jayanagar,"Biryani, Andhra, North Indian, Seafood",600.0,4.5,4569,True,False,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Vegetable Biryani, Raita, Chicken Kebab, Lemon Chicken"
House Of Commons,Koramangala 7Th Block,Koramangala 5Th Block,"Continental, Asian, North Indian",1000.0,4.7,4470,False,True,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini"
Vidyarthi Bhavan,Basavanagudi,Basavanagudi,South Indian,150.0,4.4,4460,False,False,Quick Bites,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa"
Chianti,Old Airport Road,Indiranagar,Italian,1500.0,4.6,4453,False,True,Casual Dining,"Pasta, Pizza, Salads, Tiramisu, Wine, Sangria, Bruschettas"
Plan B,Residency Road,Brigade Road,"American, Continental, BBQ, Steak",1200.0,4.1,4448,False,False,"Casual Dining, Pub","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak"
CTR,Rajajinagar,Malleshwaram,South Indian,150.0,4.8,4421,True,False,Quick Bites,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath"
Onesta,Jayanagar,Jp Nagar,"Pizza, Cafe, Italian",600.0,4.3,4421,True,True,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza"
Brewsky,Jayanagar,Jp Nagar,"Continental, American",1600.0,4.3,4325,True,True,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Cocktails, Mocktails, Drunken Chicken Wings"
The Black Rabbit,Old Airport Road,Indiranagar,"Continental, Finger Food",1500.0,4.3,4239,False,True,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Peri Peri Chicken, Custard, Pepperoni Pizza"
The Fisherman's Wharf,Sarjapur Road,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",1400.0,4.3,4139,True,True,"Casual Dining, Bar","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab"
Communiti,Residency Road,Residency Road,"Continental, BBQ, Salad",1500.0,4.6,4119,False,False,"Microbrewery, Casual Dining","Pizza, Cocktails, Peri Peri Chicken, Craft Beer, Mocktails, Nachos, Pasta"
Sotally Tober,Koramangala 7Th Block,Koramangala 4Th Block,"Asian, Burger, Pizza, Chinese, Finger Food",1200.0,4.4,4096,False,True,"Bar, Casual Dining","Cocktails, Barbeque Chicken Pizza, Nachos, Chocolate Martini, Bbq Chicken Pizza, Wedges, Beer"
Brooks and Bonds Brewery,Koramangala 7Th Block,Koramangala 5Th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",1600.0,4.5,3996,True,True,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges"
The London Curry House - The Royale Senate Hotel,Malleshwaram,Race Course Road,"Pizza, North Indian, Modern Indian",1300.0,4.5,3960,False,False,"Casual Dining, Bar","Soan Papdi, Mocktails, Panipuri, Kulfi, Cocktails, Misal Pav, Honey Chilli Potatoes"
The Globe Grub,Marathahalli,Marathahalli,"Continental, North Indian, Asian, Italian",1300.0,4.8,3932,False,True,Casual Dining,"Mutton Curry, Mutton Seekh, Brownie, Gol Gappe, Fish, Rabri, Chicken Curry"
Gilly's Restobar,Koramangala 7Th Block,Koramangala 5Th Block,"Finger Food, Continental, North Indian",1000.0,4.5,3923,False,True,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari"
Truffles,New Bel Road,New Bel Road,"Cafe, American, Burger, Steak",900.0,4.7,3916,False,False,"Cafe, Casual Dining","Burgers, Pasta Arrabiata, Ferrero Rocher Milkshake, Veg Pattice, Pesto Pasta, Rolls, Salads"
Monkey Bar,Old Airport Road,Indiranagar,"American, Asian, European, North Indian",1400.0,4.3,3890,True,False,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli"
Three Dots & A Dash,Indiranagar,Indiranagar,"European, Continental",1300.0,4.1,3864,False,True,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta"
Barbeque Nation,Jayanagar,Jp Nagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.8,3864,False,True,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta"
Onesta,Sarjapur Road,Hsr,"Pizza, Cafe, Italian",600.0,4.4,3859,True,True,"Casual Dining, Cafe","Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza"
Dyu Art Cafe,Koramangala 7Th Block,Koramangala 5Th Block,"Cafe, Italian, Fast Food",800.0,4.5,3854,False,False,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie"
Empire Restaurant,Hsr,Hsr,"North Indian, Mughlai, South Indian, Chinese",750.0,3.9,3833,True,False,Casual Dining,"Mutton Varuval, Brain Fry, Chicken Grill, Ghee Rice, Jumbo Shawarma, Mutton Raan Biriyani, Butter Chicken"
The Fatty Bao - Asian Gastro Bar,Old Airport Road,Indiranagar,"Japanese, Sushi, Asian",1200.0,4.6,3823,True,False,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad"
Soda Bottle Opener Wala,Residency Road,Lavelle Road,"Parsi, North Indian",1300.0,4.4,3730,True,True,"Casual Dining, Irani Cafee","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Kulfi"
Tim Tai,Koramangala 6Th Block,Koramangala 5Th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400.0,4.4,3677,True,True,Casual Dining,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Rendang Chicken, Pad Thai"
LOFT38,Old Airport Road,Indiranagar,"Italian, BBQ, Asian, Fast Food",1900.0,4.3,3659,False,True,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea"
Barbeque Nation,Koramangala 6Th Block,Koramangala 1St Block,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,3632,False,True,Casual Dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish"
Kota Kachori,Koramangala 7Th Block,Koramangala 6Th Block,"Street Food, Desserts, North Indian, Mithai, Rajasthani",400.0,4.3,3624,True,False,Quick Bites,"Pyaz Kachori, Chaat, Gajar Ka Halwa, Shrikhand, Jalebi Rabri, Churma, Boondi Raita"
Truffles,Brigade Road,St. Marks Road,"Cafe, American, Burger, Steak",900.0,4.5,3614,False,False,Cafe,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken"
Smally's Resto Cafe,Residency Road,Church Street,"Cafe, Italian, Burger, American, Steak",650.0,4.2,3581,True,False,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger"
House Of Commons,Hsr,Hsr,"Continental, Asian, North Indian",1000.0,4.7,3573,False,True,Bar,"Spaghetti, Ghee Roast Mutton, Draft Beer, Pinacolada, Pizza, Cocktails, Craft Beer"
The Biere Club,Residency Road,Lavelle Road,"Continental, BBQ, Finger Food",1700.0,4.3,3498,True,True,"Pub, Microbrewery","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Meatballs, Craft Beer"
Jalsa Gold,Marathahalli,Marathahalli,"North Indian, Mughlai, Italian",1300.0,4.5,3486,False,True,Casual Dining,"Phirni, Butter Chicken, Cocktails, Kadhai Paneer, Chicken Curry, Cucumber Juice, Rabri"
Sultans of Spice,Koramangala 7Th Block,Koramangala 5Th Block,"North Indian, Mughlai, Salad",1300.0,4.5,3473,True,True,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh"
Gramin,Koramangala 7Th Block,Koramangala 7Th Block,North Indian,600.0,4.3,3468,True,False,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn"
Delhi Highway,Old Airport Road,Indiranagar,"North Indian, Mughlai",1500.0,4.4,3439,True,True,Casual Dining,"Kheer, Dum Aloo Kashmiri, Lunch Thali, Dahipuri, Tandoori Mushrooms, Chaat, Lassi"
Meghana Foods Grand,Marathahalli,Marathahalli,"Biryani, Andhra, North Indian, Seafood",600.0,4.2,3367,True,False,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani"
Little Italy,Old Airport Road,Indiranagar,"Italian, Pizza, Mexican",1400.0,4.2,3307,True,True,Casual Dining,"Pasta, Macaroni, Caesar Salad, Wood Fire Pizza, Ravioli, Chocolate Bomb, Cocktails"
Empire Restaurant,Residency Road,Church Street,"North Indian, Mughlai, South Indian, Chinese",750.0,4.0,3286,True,False,Casual Dining,"Paneer Tikka, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Raita, Biryani"
Paradise,Old Airport Road,Indiranagar,"Biryani, North Indian, Kebab",800.0,4.0,3268,True,False,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Mutton Biryani, Hydrabadi Biryani, Vegetable Biryani, Reshmi Kebab, Mutton Seekh Kabab"
Empire Restaurant,Kammanahalli,Kammanahalli,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,3248,True,False,Casual Dining,"Ghee Rice, Chicken Grill, Alfam Chicken, Mutton Biryani, Fruit Salad, Peri Peri Chicken, Shawarma"
Punjabi by Nature 2.0,Koramangala 5Th Block,Btm,North Indian,0.0,4.2,3236,False,False,"Casual Dining, Microbrewery","Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer"
ECHOES Koramangala,Koramangala 7Th Block,Koramangala 5Th Block,"Chinese, American, Continental, Italian, North Indian",750.0,4.7,3220,False,False,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes"
Empire Restaurant,Bannerghatta Road,Bannerghatta Road,"North Indian, Mughlai, South Indian, Chinese",750.0,4.3,3178,True,False,Casual Dining,"Chicken Satay, Mutton Brain, Egg Biryani, Paneer Tikka Masala, Rolls, Lemon Chicken, Butter Chicken"
Buff Buffet Buff,Koramangala 7Th Block,Koramangala 5Th Block,"North Indian, Chinese, Continental, Thai, Salad",1500.0,4.5,3177,True,True,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads"
Tipsy Bull - The Bar Exchange,Old Airport Road,Indiranagar,"Chinese, Continental, North Indian, Mexican",1400.0,4.6,3173,False,True,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Biryani, Mocktails, Pizza, Sangria, Chicken Dim Sum"
Ebony,Residency Road,Mg Road,"North Indian, South Indian",1500.0,4.3,3152,True,True,Casual Dining,"Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai"
Skyye,Residency Road,Lavelle Road,Continental,2500.0,4.2,3140,False,True,Lounge,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer"
Float,Sarjapur Road,Marathahalli,"North Indian, Japanese",1500.0,4.4,3133,True,True,"Casual Dining, Bar","Butter Fish, Chicken Burritos, Cocktails, Mocktails, Rabri, Exotic Veg Pizza, Potato Wedges"
The Druid Garden,New Bel Road,Sahakara Nagar,"Asian, Continental, European, North Indian, Mediterranean",1700.0,4.3,3077,True,True,"Microbrewery, Casual Dining","Beer, Crab Ravioli, Cocktails, Donne Biryani, Chicken Tacos, Tiramisu, Seafood Ravioli"
Ruh,Sarjapur Road,Bellandur,"North Indian, Mughlai, Mediterranean, Iranian",1000.0,4.0,3056,False,True,Casual Dining,"Fattoush Salad, Mutton Biryani, Mutton Roganjosh, Panipuri, Mocktails, Choco Bomb, Cocktails"
Kapoor's Cafe,Whitefield,Whitefield,North Indian,800.0,4.2,3021,False,False,Casual Dining,"Paratha, Matka Lassi, Rabri, Puri Sabzi, Masala Soda, Chaach, Veg Kolhapuri"
AB's - Absolute Barbecues,Whitefield,Whitefield,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,3009,False,True,Casual Dining,"Mutton Roganjosh, Mutton Keema, Mutton Curry, Macaroon, Paan Ice Cream, Sea Food, Biryani"
Cafe Thulp,Koramangala 7Th Block,Koramangala 1St Block,"Cafe, Burger, Italian, Salad",1000.0,4.2,3007,True,False,Cafe,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles"
Flechazo,Whitefield,Whitefield,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.9,3004,False,True,Casual Dining,"Pizza, Mutton Kebab, Chicken Biryani, Sea Food, Chicken Dim Sum, Pasta, Mocktails"
Sidewalk - The Garden Bar,Marathahalli,Marathahalli,"North Indian, Continental, Chinese, Thai",1300.0,4.4,3004,True,True,"Bar, Casual Dining","Veg Burger, Pesto Pasta, Cocktails, Pizza, Craft Beer, Chicken Steak, Prawn"
Phobidden Fruit,Old Airport Road,Indiranagar,"Vietnamese, Salad",1100.0,4.4,2950,False,False,Casual Dining,"Pho, Noodles, Salads, Mocktails, Veg Momos, Banh Cuon, Pork Chops"
Tippler,Old Airport Road,Indiranagar,"Russian, Continental, North Indian",1300.0,4.2,2946,False,True,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos"
The Only Place,Residency Road,Church Street,"Italian, American, Steak, Continental, BBQ, Salad",1000.0,4.2,2938,True,True,Casual Dining,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler"
Hammered,New Bel Road,New Bel Road,"North Indian, Continental, Cafe",1200.0,4.5,2935,True,True,"Pub, Cafe","Mocktails, Cocktails, Beer, Pasta, Tacos, Pizza, Chicken Tikka Masala"
Karama Restaurant,Mg Road,Frazer Town,"Arabian, North Indian, Beverages",750.0,4.4,2907,True,True,Casual Dining,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken"
Onesta,Marathahalli,Marathahalli,"Pizza, Cafe, Italian",600.0,4.6,2906,True,True,"Casual Dining, Cafe","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza"
Mavalli Tiffin Room (MTR),Basavanagudi,Basavanagudi,South Indian,250.0,4.5,2896,False,False,Quick Bites,"Rava Idli, Filter Coffee, Ghee Masala Dosa, Badam Halwa, Upma, Raita, Rasam Rice"
Vapour Brewpub and Diner,Sarjapur Road,Sarjapur Road,"North Indian, Continental, Italian",1400.0,4.5,2878,False,True,"Microbrewery, Pub","Cheese Pasta, Cocktails, Craft Beer, Stout, Bruschettas, Pinacolada, Wheat Beer"
A Hole Lotta Love Cafe,Koramangala 7Th Block,Koramangala 5Th Block,"Cafe, American, Burger, Sandwich, Beverages",600.0,4.3,2874,True,False,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta"
Green Theory,Residency Road,Residency Road,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800.0,4.2,2872,True,True,"Casual Dining, Cafe","Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Potato Skins, Kiwi Lemonade"
1131 Bar + Kitchen,Old Airport Road,Indiranagar,"Continental, Asian, Italian, North Indian",1500.0,4.4,2861,False,True,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Nachos, Sangria, Craft Beer, Mocktails"
Ji Hazoor,Whitefield,Whitefield,"Mughlai, North Indian, Biryani, Afghan",1100.0,4.0,2856,True,True,"Casual Dining, Bar","Chicken Salad, Mocktails, Mutton Curry, Chicken Dum Biryani, Egg Masala, Egg Salad, Karela Salad"
Hakuna Matata,Jp Nagar,Jp Nagar,"North Indian, Asian, Seafood, Chinese",1200.0,4.5,2800,False,False,"Casual Dining, Bar","Mocktails, Cocktails, Appam, Paneer Satay, Sea Food, Paneer Tikka, Jeera Rice"
Whitefield Social,Whitefield,Whitefield,"American, North Indian, Chinese, Finger Food, Momos",1500.0,4.1,2773,True,False,Pub,"Cocktails, Chicken Kebab, Murgh Ghee Roast, Virgin Mojito, Honey Chilli Fries, Ice Tea, Shawarma"
Double Decker,Residency Road,Brigade Road,"Continental, North Indian",1300.0,4.3,2749,False,True,"Bar, Casual Dining","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges"
